procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  0 639800 3362700  53620 1129384   15  344   455   715 2875    4  1  1 97  0  0  0
 1  0 639800 2173468  53620 1129384    0    0     0     0 5349 7229 21 17 62  0  0  0
 6  0 639800 2314400  53628 1129640    0    0     0    32 4519 5947 16 14 70  0  0  0
 1  0 639800 2777540  53636 1129664    0    0     0    42 2391 1914 20 14 65  0  0  0
 2  0 639788 1798748  53652 1129656    8    0     8    80 5143 6547 28 19 53  0  0  0
 4  0 639788 2816852  53652 1129704    0    0     0     0 4080 4538 24 16 60  0  0  0
 7  0 639788 2780152  53668 1129732    2    0     2    44 5504 6799 27 15 58  0  0  0
 7  0 639788 2195208  53668 1129864    0    0     0     0 5201 6729 25 14 61  0  0  0
 1  0 639788 2717976  53668 1129908    0    0     0     0 4198 4661 30 14 56  0  0  0
 8  0 639788 1839388  53684 1129904    0    0     0    22 3935 3232 26 15 59  0  0  0
 7  0 639788 2742324  53684 1130008    0    0     0     0 5343 5002 27 15 57  0  0  0
 7  0 639788 1998060  53692 1130064    0    0     0    36 6809 8438 30 15 55  0  0  0
 2  0 639788 2279360  53700 1130176    0    0     0   252 3610 3812 25 13 62  0  0  0
 8  0 639788 2729916  53700 1130232    0    0     0     0 3882 4226 27 16 57  0  0  0
 7  0 639788 2718940  53708 1130288    0    0     0     8 2939 2354 28 15 57  0  0  0
 7  0 639788 1955616  53716 1130344    0    0     0     8 4435 5543 26 14 60  0  0  0
 2  0 639788 2617056  53716 1130404    0    0     0     0 5842 8022 31 17 53  0  0  0
 6  0 639788 1668652  53724 1130460    0    0     0     8 3647 3582 27 16 57  0  0  0
 7  0 639788 2654500  53732 1130624    0    0     0    56 3949 4582 26 13 61  0  0  0
 7  0 639788 2327928  53732 1130688    0    0     0    24 4626 5442 30 14 56  0  0  0
 2  0 639788 1999812  53740 1130728    0    0     0   250 3363 3373 24 13 63  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 639788 2754524  53748 1130768    0    0     0    14 4968 6789 29 14 57  0  0  0
 8  0 639788 1744564  53748 1130840    0    0     0     0 4345 5107 25 18 57  0  0  0
 7  0 639788 2734920  53756 1130856    0    0     0     8 3303 2960 28 14 58  0  0  0
 7  0 639788 2358000  53764 1130952    0    0     0    32 4700 4476 30 14 56  0  0  0
 7  0 639788 1868240  53764 1131004    0    0     0     0 5522 5724 23 13 64  0  0  0
 2  0 639788 2815364  53780 1131080    0    0     0    46 5772 6011 29 14 57  0  0  0
 2  0 639788 2166920  53780 1131128    0    0     0     0 4273 4834 26 16 58  0  0  0
10  0 639788 2084260  53780 1131216    0    0     0   240 4717 5710 24 15 62  0  0  0
 2  0 639788 2552732  53796 1131288    0    0     0    28 2978 2534 31 14 56  0  0  0
 2  0 639788 1795248  53796 1131712    0    0   164     0 5190 6448 27 16 56  0  0  0
 2  0 639788 2710192  53796 1131748    0    0     0     0 8064 11857 28 15 57  0  0  0
 2  0 639788 1802472  53816 1131848    0    0     0    38 4661 5536 29 15 56  0  0  0
 7  0 639788 2090608  53816 1131904    0    0     0     0 4817 6150 25 13 63  0  0  0
 4  0 639788 2563828  53832 1131976    0    0     0    44 2619 1996 26 15 59  0  0  0
 7  0 639788 2576744  53832 1131988    0    0     0   228 3618 4236 21 14 65  0  0  0
 7  0 639788 2007356  53832 1131992    0    0     0    18 7143 10497 16 15 69  0  0  0
 6  0 639788 3163648  53848 1131988    0    0     0    24 2947 2461 21 13 66  0  0  0
 1  0 639784 1922124  53848 1131988    2    0     2     0 4847 5744 22 16 62  0  0  0
 6  0 639784 2344280  53856 1131972    0    0     0    40 4307 5457 16 14 70  0  0  0
 1  0 639784 2792532  53864 1131984    0    0     0     8 4010 2846 23 12 64  0  0  0
 1  0 639784 2023216  53872 1131984    0    0     0    14 7456 9375 20 15 65  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0 639784 2900820  53872 1131984    0    0     0    24 4107 4163 18 13 69  0  0  0
 7  0 639784 2327340  53880 1131996    0    0     0     6 2920 2793 21 15 64  0  0  0
 6  0 639784 2449608  53888 1131996    0    0     0    12 3745 4720 17 13 70  0  0  0
 8  0 639784 3015116  53888 1131996    0    0     0     0 2931 3298 19 14 67  0  0  0
 6  0 639784 2441664  53896 1132012    0    0     0     6 5371 7118 22 16 62  0  0  0
 6  0 639784 2388852  53904 1131992    0    0     0     8 3401 4148 17 13 70  0  0  0
 6  0 639784 2877696  53904 1131992    0    0     0     0 2255 1848 19 14 66  0  0  0
 6  0 639784 2338180  53912 1132056    0    0     0    32 4495 5562 22 14 64  0  0  0
 1  0 639784 2332192  53920 1132060    0    0     0    16 3490 4400 16 12 72  0  0  0
 6  0 639784 2909220  53920 1132060    0    0     0     0 5428 7110 19 16 65  0  0  0
 6  0 639784 2877288  53936 1132056    0    0     0    40 3735 4462 21 14 65  0  0  0
 6  0 639784 2352304  53936 1132060    0    0     0     0 3475 4467 15 13 72  0  0  0
 1  0 639784 3122112  53936 1132060    0    0     0     0 4122 3251 22 13 66  0  0  0
 6  0 639784 2346460  53952 1132080    0    0     0    20 4384 4162 20 15 65  0  0  0
 1  0 639784 2856264  53952 1132092    0    0     0     0 6095 8609 18 15 67  0  0  0
 6  0 639784 2186008  53952 1132112    0    0     0    22 3314 3457 22 14 64  0  0  0
 2  0 639784 2129048  53968 1132100    0    0     0    18 3417 4322 17 13 71  0  0  0
 6  0 639784 2841856  53968 1132100    0    0     0     0 4335 5421 20 14 65  0  0  0
